2024-09-21 13:45:59.695972,0x4358fbec,86,96,98,56,67,81
2024-09-21 13:46:59.951888,0x4358fbec,48,50,50,38,46,50
2024-09-21 13:48:00.506710,0x4358fbec,41,43,43,35,41,43
2024-09-21 13:49:08.074096,0x4358fbec,46,48,48,36,44,48
2024-09-21 14:01:09.975528,0x4358fbec,43,43,43,35,40,43
2024-09-21 14:01:10.009874,0x4358fbec,39,39,39,34,39,39
2024-09-21 14:01:10.113797,0x4358fbec,52,52,52,39,46,52
2024-09-21 14:01:10.242941,0x4358fbec,40,40,40,34,39,40
2024-09-21 14:15:05.111189,0x4358fbec,52,52,52,39,46,52
2024-09-21 14:27:01.768057,0x4358fbec,4,4,4,4,4,4
2024-09-21 14:30:01.964886,0x4358fbec,11,11,11,11,11,11
2024-09-21 14:33:02.817470,0x4358fbec,52,57,57,40,50,57
2024-09-21 14:36:02.509379,0x4358fbec,50,50,50,39,46,50
2024-09-21 14:39:02.793302,0x4358fbec,14,14,14,14,14,14
2024-09-21 14:42:03.564268,0x4358fbec,14,14,14,14,14,14
2024-09-21 14:45:03.156975,0x4358fbec,15,15,15,15,15,15
2024-09-21 14:48:03.359218,0x4358fbec,16,16,16,16,16,16
2024-09-21 14:51:04.041039,0x4358fbec,16,16,16,16,16,16
2024-09-21 14:54:03.824397,0x4358fbec,17,17,17,17,17,17
2024-09-21 14:57:03.992664,0x4358fbec,14,14,14,14,14,14
2024-09-21 15:00:04.223903,0x4358fbec,14,14,16,14,14,16
2024-09-21 15:03:05.021391,0x4358fbec,16,16,16,16,16,16
2024-09-21 15:06:05.031451,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:09:04.920344,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:12:05.158856,0x4358fbec,16,16,16,16,16,16
2024-09-21 15:15:05.999816,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:18:06.167850,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:21:06.403867,0x4358fbec,16,16,16,16,16,16
2024-09-21 15:24:06.099144,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:27:06.860902,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:30:07.161899,0x4358fbec,16,16,16,16,16,16
2024-09-21 15:33:07.743243,0x4358fbec,17,17,17,17,17,17
2024-09-21 15:36:07.558701,0x4358fbec,12,12,12,12,12,12
2024-09-21 15:39:07.400248,0x4358fbec,12,12,12,12,12,12
2024-09-21 15:42:07.510646,0x4358fbec,13,13,13,13,13,13
